"","code","plot","fixer","Number_trees","wood_density","pft","X","Genus","Species","Family","Binomial"
"171","PIPEAD",48,0,123,0.39,2,84,"Piper","aduncum","Piperaceae","Piper aduncum"
"172","PIPEAD",1,0,2,0.39,2,84,"Piper","aduncum","Piperaceae","Piper aduncum"
"173","PIPEAD",45,0,187,0.39,2,84,"Piper","aduncum","Piperaceae","Piper aduncum"
"174","PIPEAD",47,0,31,0.39,2,84,"Piper","aduncum","Piperaceae","Piper aduncum"
"175","POCHSE",47,0,2,0.42,2,85,"Pachira","sessilis","Bombacaceae","Pachira sessilis"
"176","POCHSE",1,0,1,0.42,2,85,"Pachira","sessilis","Bombacaceae","Pachira sessilis"
"177","POCHSE",48,0,4,0.42,2,85,"Pachira","sessilis","Bombacaceae","Pachira sessilis"
"178","PSE3FR",45,0,8,0.8,4,86,"Pseudima","frutescens","Sapindaceae",NA
"179","PSE3FR",48,0,18,0.8,4,86,"Pseudima","frutescens","Sapindaceae",NA
"180","PSIDGU",1,0,6,0.65,3,87,"Psidium","guajava","Myrtaceae","Psidium guajava"
"181","PSIDGU",47,0,2,0.65,3,87,"Psidium","guajava","Myrtaceae","Psidium guajava"
"182","PSIDGU",45,0,5,0.65,3,87,"Psidium","guajava","Myrtaceae","Psidium guajava"
"183","PSYCG3",48,0,77,0.56,3,88,"Psychotria","grandis","Rubiaceae","Psychotria grandis"
"184","PSYCG3",45,0,106,0.56,3,88,"Psychotria","grandis","Rubiaceae","Psychotria grandis"
"185","QUASAM",48,0,14,0.53,3,89,"Quassia","amara","Simaroubaceae","Quassia amara"
"186","QUASAM",45,0,4,0.53,3,89,"Quassia","amara","Simaroubaceae","Quassia amara"
"187","RYANSP",1,0,8,0.4,2,90,"Ryania","speciosa","Flacourtiaceae","Ryania speciosa"
"188","RYANSP",48,0,14,0.4,2,90,"Ryania","speciosa","Flacourtiaceae","Ryania speciosa"
"189","SAURLA",1,0,2,0.4,2,91,"Saurauia","yasicae","Actinidiaceae","Saurauia yasicae"
"190","SAURLA",48,0,1,0.4,2,91,"Saurauia","yasicae","Actinidiaceae","Saurauia yasicae"
"191","SCH2MO",48,0,19,0.46,2,92,"Schefflera","morototoni","Araliaceae","Schefflera morototoni"
"192","SCH2MO",47,0,6,0.46,2,92,"Schefflera","morototoni","Araliaceae","Schefflera morototoni"
"193","SCH2MO",45,0,2,0.46,2,92,"Schefflera","morototoni","Araliaceae","Schefflera morototoni"
"194","SENNBA",48,0,2,0.62,3,93,"Senna","bacillaris","Fabaceae",NA
"195","SENNHA",48,0,37,0.62,3,94,"Senna","hayesiana","Fabaceae",NA
"196","SENNHA",1,0,4,0.62,3,94,"Senna","hayesiana","Fabaceae",NA
"197","SENNHA",45,0,294,0.62,3,94,"Senna","hayesiana","Fabaceae",NA
"198","SENNHA",47,0,4,0.62,3,94,"Senna","hayesiana","Fabaceae",NA
"199","SENNOB",45,0,2,0.62,3,95,"Senna","obtusifolia","Fabaceae",NA
"200","SIMAAM",48,0,2,0.39,2,96,"Simarouba","amara","Simaroubaceae","Simarouba amara"
"201","SIPAGU",48,0,10,0.66,3,97,"Siparuna","guianensis","Monimiaceae","Siparuna guianensis"
"202","SIPAPA",48,0,3,0.46,2,98,"Siparuna","pauciflora","Monimiaceae","Siparuna pauciflora"
"203","SIPAPA",45,0,3,0.46,2,98,"Siparuna","pauciflora","Monimiaceae","Siparuna pauciflora"
"204","SOLAAS",45,0,2,0.41,2,99,"Solanum","asperum","Solanaceae","Solanum asperum"
"205","SOLAHA",45,0,2,0.41,2,100,"Solanum","hayesii","Solanaceae","Solanum hayesii"
"206","SOLAHA",48,0,3,0.41,2,100,"Solanum","hayesii","Solanaceae","Solanum hayesii"
"207","SPONRA",48,0,19,0.36,2,101,"Spondias","radlkoferi","Anacardiaceae","Spondias radlkoferi"
"208","SWARS1",45,1,3,0.84,30,102,"Swartzia","simplex","Fabaceae:Papil.","Swartzia simplex var.grandiflora"
"209","SWARS1",48,1,3,0.84,30,102,"Swartzia","simplex","Fabaceae:Papil.","Swartzia simplex var.grandiflora"
"210","SYZYJA",48,0,43,0.7,4,103,"Syzygium","jambos","Myrtaceae","Syzygium jambos"
"211","TERMAM",1,0,31,0.67,3,104,"Terminalia","amazonia","Combretaceae","Terminalia amazonia"
"212","TERMAM",47,0,37,0.67,3,104,"Terminalia","amazonia","Combretaceae","Terminalia amazonia"
"213","TERMAM",45,0,31,0.67,3,104,"Terminalia","amazonia","Combretaceae","Terminalia amazonia"
"214","TERMAM",48,0,2,0.67,3,104,"Terminalia","amazonia","Combretaceae","Terminalia amazonia"
"215","TERNTE",47,0,40,0.62,3,105,"Ternstroemia","tepezapote","Theaceae","Ternstroemia tepezapote"
"216","TET4JO",48,0,3,0.62,3,106,"Tetrathylacium","johansenii","Flacourtiaceae","Tetrathylacium johansenii"
"217","THEVAH",48,0,35,0.72,4,107,"Thevetia","ahouai","Apocynaceae","Thevetia ahouai"
"218","THEVAH",45,0,1291,0.72,4,107,"Thevetia","ahouai","Apocynaceae","Thevetia ahouai"
"219","THEVAH",47,0,10,0.72,4,107,"Thevetia","ahouai","Apocynaceae","Thevetia ahouai"
"220","TREMMI",45,0,139,0.32,2,108,"Trema","micrantha","Ulmaceae","Trema micrantha"
"221","TRI4GA",47,0,1,0.27,2,109,"Trichospermum","galeottii","Tiliaceae","Trichospermum galeottii"
"222","TRI4GA",48,0,35,0.27,2,109,"Trichospermum","galeottii","Tiliaceae","Trichospermum galeottii"
"223","TRIUBO",47,0,2,0.4,2,110,"Triumfetta","bogotensis","Tiliaceae","Triumfetta bogotensis"
"224","VERNPA",48,0,15,0.54,3,111,"Vernonanthura","patens","Asteraceae","Vernonanthura patens"
"225","VERNPA",1,0,35,0.54,3,111,"Vernonanthura","patens","Asteraceae","Vernonanthura patens"
"226","VERNPA",45,0,182,0.54,3,111,"Vernonanthura","patens","Asteraceae","Vernonanthura patens"
"227","VERNPA",47,0,4,0.54,3,111,"Vernonanthura","patens","Asteraceae","Vernonanthura patens"
"228","VIROSE",1,0,1,0.49,2,112,"Virola","sebifera","Myristicaceae","Virola sebifera"
"229","VIROSU",48,0,2,0.41,2,113,"Virola","surinamensis","Myristicaceae","Virola surinamensis"
"230","VISMBA",47,0,115,0.43,2,114,"Vismia","baccifera","Clusiaceae","Vismia baccifera"
"231","VISMBA",48,0,37,0.43,2,114,"Vismia","baccifera","Clusiaceae","Vismia baccifera"
"232","VISMBA",45,0,52,0.43,2,114,"Vismia","baccifera","Clusiaceae","Vismia baccifera"
"233","VISMBA",1,0,514,0.43,2,114,"Vismia","baccifera","Clusiaceae","Vismia baccifera"
"234","VISMBI",45,0,3,0.49,2,115,"Vismia","billbergiana","Clusiaceae","Vismia billbergiana"
"235","VISMBI",47,0,3,0.49,2,115,"Vismia","billbergiana","Clusiaceae","Vismia billbergiana"
"236","VISMBI",48,0,124,0.49,2,115,"Vismia","billbergiana","Clusiaceae","Vismia billbergiana"
"237","VISMMA",1,0,294,0.49,2,116,"Vismia","macrophylla","Clusiaceae","Vismia macrophylla"
"238","VISMMA",48,0,42,0.49,2,116,"Vismia","macrophylla","Clusiaceae","Vismia macrophylla"
"239","VISMMA",45,0,18,0.49,2,116,"Vismia","macrophylla","Clusiaceae","Vismia macrophylla"
"240","VISMMA",47,0,100,0.49,2,116,"Vismia","macrophylla","Clusiaceae","Vismia macrophylla"
"241","WARSCO",45,0,4,0.56,3,117,"Warszewiczia","coccinea","Rubiaceae","Warszewiczia coccinea"
"242","XYL1FR",45,0,78,0.59,3,118,"Xylopia","frutescens","Annonaceae","Xylopia frutescens"
"243","XYL1FR",1,0,40,0.59,3,118,"Xylopia","frutescens","Annonaceae","Xylopia frutescens"
"244","XYL1FR",47,0,20,0.59,3,118,"Xylopia","frutescens","Annonaceae","Xylopia frutescens"
"245","XYL1FR",48,0,37,0.59,3,118,"Xylopia","frutescens","Annonaceae","Xylopia frutescens"
"246","XYL2CH",47,0,8,0.66,3,119,"Xylosma","chlorantha","Flacourtiaceae","Xylosma chlorantha"
