Number,Family,Binomial,Wood_density,Region,Reference_number,our_samples,Genus,Species,
225,Fabaceae,Acacia tucumanensis,0.630,South America (tropical),134,,Acacia,tucumanensis,
226,Fabaceae,Acacia victoriae,0.692,Australia,90,,Acacia,victoriae,
227,Fabaceae,Acacia visco,0.688,South America (extratropical),66,,Acacia,visco,
228,Fabaceae,Acacia xanthophloea,0.758,Africa (extratropical),72,,Acacia,xanthophloea,
229,Fabaceae,Acacia xiphophylla,1.137,Australia,90,,Acacia,xiphophylla,
230,Euphorbiaceae,Acalypha caturus,0.300,South-East Asia (tropical),16,,Acalypha,caturus,
231,Santalaceae,Acanthosyris falcata,0.645,South America (extratropical),66,,Acanthosyris,falcata,
232,Santalaceae,Acanthosyris falcata,0.646,South America (extratropical),46,,Acanthosyris,falcata,
233,Santalaceae,Acanthosyris glabrata,0.600,South America (tropical),204,,Acanthosyris,glabrata,
234,Myrtaceae,Acca sellowiana,0.750,South America (extratropical),114,,Acca,sellowiana,
235,Sapindaceae,Acer buergerianum,0.620,China,197,,Acer,buergerianum,
236,Sapindaceae,Acer caesium,0.499,India,135,,Acer,caesium,
237,Sapindaceae,Acer campbellii,0.499,India,135,,Acer,campbellii,
238,Sapindaceae,Acer campestre,0.525,Europe,28,,Acer,campestre,
239,Sapindaceae,Acer catalpifolium,0.450,South-East Asia,136,,Acer,catalpifolium,
240,Sapindaceae,Acer cultratum,0.550,South-East Asia,136,,Acer,cultratum,
241,Sapindaceae,Acer davidii,0.472,China,33,,Acer,davidii,
242,Sapindaceae,Acer davidii,0.444,China,33,,Acer,davidii,
243,Sapindaceae,Acer decandrum,0.574,China,33,,Acer,decandrum,
244,Sapindaceae,Acer decandrum,0.680,China,33,,Acer,decandrum,
245,Sapindaceae,Acer decandrum,0.620,China,126,,Acer,decandrum,
246,Sapindaceae,Acer decandrum,0.608,China,33,,Acer,decandrum,
247,Sapindaceae,Acer decandrum,0.750,China,33,,Acer,decandrum,
248,Sapindaceae,Acer laurinum,0.430,South-East Asia (tropical),129,,Acer,laurinum,
249,Sapindaceae,Acer macrophyllum,0.440,NorthAmerica,6,,Acer,macrophyllum,
250,Sapindaceae,Acer mandshuricum,0.585,China,33,,Acer,mandshuricum,
251,Sapindaceae,Acer mono,0.610,China,33,,Acer,mono,
252,Sapindaceae,Acer mono,0.715,China,33,,Acer,mono,
